"region","Year","rp_median","WEIGHT"
12060,1985,0.0762416161310745,385598.46
12060,1987,0.0755473620688884,413998.6
12060,1989,0.0819740589680578,455379.33
12060,1991,0.0848427325861578,396498.89
12060,1993,0.0888778301182677,434416.07
12060,1995,0.0873761879448598,520529.16
12060,1997,0.0849192801523238,352260.6576012
12060,1999,0.0851422745115774,416374.4177331
12060,2001,0.0783212674008168,448631.5420257
12060,2003,0.0644081541777689,414760.819587
12060,2005,0.0727652196388641,522984.3516661
12060,2007,0.0756895563743084,464976.7498341
12060,2009,0.082491455454633,457534.3753521
12060,2011,0.0945480359343244,474707.1657137
12060,2013,0.114344327216726,470420.9022301
12060,2015,0.10271962765356,3138606.28789934
12060,2017,0.0858046928751493,3293095.86608268
12060,2019,0.0787002780741066,3287963.84644376
14460,2015,0.0551660003537044,1044784.81550344
14460,2017,0.0499845343451412,1081096.32587859
14460,2019,0.0507861113371624,1093855.70591411
16980,1985,0.0716266175402766,955759.37
16980,1987,0.0736033970865458,981135.73
16980,1989,0.067672708864791,1035983.05
16980,1991,0.0669562276405507,991326.36
16980,1993,0.0645564972579145,999777.23
16980,1995,0.0638305342814262,889838.47
16980,1997,0.0630907840989738,980966.7084345
16980,1999,0.0675193388565463,809260.39080029
16980,2001,0.0664662955652197,991181.2151266
16980,2003,0.0633707207339259,969786.59096033
16980,2005,0.0555177752388207,1058926.70624345
16980,2007,0.0458358926850156,1096189.71834837
16980,2009,0.0672538547775359,738207.72506364
16980,2011,0.0744646574956382,1060542.55731889
16980,2013,0.08003757645735,543466.77472192
16980,2015,0.0793167129796047,8858880.18515164
16980,2017,0.0801017110095221,8780114.92549596
16980,2019,0.0754295479963319,8968605.34705024
19100,1985,0.0753513668431021,667295.59
19100,1987,0.0861132214669171,713412.12
19100,1989,0.0981673133535869,713379.98
19100,1991,0.100350426118108,717446.88
19100,1993,0.109892118535306,748679.99
19100,1995,0.109083336576438,774272.55
19100,1997,0.109340300940728,625502.2308974
19100,1999,0.113114203183698,680493.2080808
19100,2001,0.103526501029861,720236.2241638
19100,2003,0.108510605624737,783118.1672111
19100,2005,0.10954393246914,810609.9489234
19100,2007,0.0970105583796787,840816.11835279
19100,2009,0.110114384856517,898560.3095106
19100,2011,0.116959215770771,906186.28202348
19100,2013,0.0932583824436129,894706.36204005
19100,2015,0.106141344273245,5149120.31403669
19100,2017,0.0926781931265924,5287627.54150716
19100,2019,0.0775252290721191,5572806.00906249
19820,1985,0.0899515564224834,911723.98
19820,1987,0.0936864986909863,926216.23
19820,1989,0.0923617297600118,946228.86
19820,1991,0.0923626316021459,918896.53
19820,1993,0.0900999370637947,900592.41
19820,1995,0.0811203811678235,1027586.33
19820,1997,0.0705660992077902,1049640.06886088
19820,1999,0.0696423525844251,1032727.32453451
19820,2001,0.0630649099663555,1211303.84561803
19820,2003,0.0644216097435089,1112642.09184999
19820,2005,0.0615539571921876,1249645.23793645
19820,2007,0.0634004520058502,1217492.53351723
19820,2009,0.0971375751692613,1033531.29647341
19820,2011,0.10833722661547,1223574.75759153
19820,2013,0.110597678642366,1169792.45942951
19820,2015,0.108669281028196,2742121.5712525
19820,2017,0.0945224225783691,2769669.48702038
19820,2019,0.0903678949782644,2743861.01805734
26420,1985,0.085198414465428,570991.32
26420,1987,0.0999651953895564,610217.18
26420,1989,0.11630412940811,620296.55
26420,1991,0.135917375562158,646138.76
26420,1993,0.124037003678005,609901.07
26420,1995,0.132105170704675,608570.39
26420,1997,0.139231933932303,436038.4747278
26420,1999,0.131006291435353,538129.7843998
26420,2001,0.122558578957217,562030.6799662
26420,2003,0.102402457828831,519159.066002
26420,2005,0.107813191720699,501552.7426852
26420,2007,0.108985456667231,546829.340686
26420,2009,0.135562312457902,508763.8790941
26420,2011,0.123650950408376,572080.7723296
26420,2013,0.124663037628634,655242.7904277
26420,2015,0.113905547219041,6071485.56670488
26420,2017,0.0924045707766561,6393902.49607584
26420,2019,0.0889913593303892,6629567.2934002
31080,1985,0.0625276187360954,1315292.66
31080,1987,0.0602380377078429,1312414.73
31080,1989,0.0476050475825374,1282353.8
31080,1991,0.0461309711633362,1279602.47
31080,1993,0.0514221036851064,1306629.08
31080,1995,0.0588065947080515,1289678.07
31080,1997,0.0587187280004671,1029259.9906867
31080,1999,0.0646907840347691,1150654.93613144
31080,2001,0.0565360789771656,1298823.0990024
31080,2003,0.0430742317470369,1287366.18173173
31080,2005,0.0301189677981935,1300903.76107407
31080,2007,0.0247140321083788,1165619.98510796
31080,2009,0.0435875465000002,1192672.00083466
31080,2011,0.0468780464545544,1230392.84266385
31080,2013,0.0431304798577366,1318254.36131879
31080,2015,0.0382501369806927,4798775.43074
31080,2017,0.0367696340480614,4529903.35080624
31080,2019,0.0371563382627,4581714.44590736
33100,1985,0.0846265131767447,664875.63
33100,1987,0.0845898555375218,718462.78
33100,1989,0.0935406104233024,766140.52
33100,1991,0.104806248703455,736073.39
33100,1993,0.100770272007522,748688.24
33100,1995,0.0991422082039438,813900.53
33100,1997,0.0845947288732344,604974.9049435
33100,1999,0.106054344990598,718799.14187947
33100,2001,0.106903774433359,842485.62203318
33100,2003,0.0837360458233146,753700.0914989
33100,2005,0.0574561797692576,765127.3461199
33100,2007,0.0480421380791768,759453.29667436
33100,2009,0.0743249363422956,727797.5545925
33100,2011,0.108827444898169,779271.86930243
33100,2013,0.101145042650362,801165.59856449
33100,2015,0.0771416651696683,3765142.89532893
33100,2017,0.0619655370226672,3811411.83503973
33100,2019,0.0610396291348817,3563568.95511495
