"region","Year","rp_median","WEIGHT"
360,1985,0.0702277123059794,470510.75
360,1987,0.0670441985394356,467366.75
360,1989,0.0497175994839164,482639.65
360,1991,0.0506332002075935,497871.98
360,1993,0.0581977118207073,483994.33
360,1995,0.0650515624904287,529909.88
360,1997,0.0701195178635282,399981.66634655
360,1999,0.0667485286380449,476714.85012206
360,2001,0.0562397368420129,565872.93706189
360,2003,0.0440461898262068,537620.63511426
360,2005,0.0334062198969642,523624.73118932
360,2007,0.0285795716454652,577332.4532604
360,2009,0.0499482431268454,565724.326899
360,2011,0.0522849473392052,559349.63395727
360,2013,0.044974419165811,541093.84684258
520,1985,0.0870530157232944,385598.46
520,1987,0.0761465545055186,413998.6
520,1989,0.0874525346354216,455379.33
520,1991,0.0860922922813451,396498.89
520,1993,0.0943000065158213,434416.07
520,1995,0.0876554769561441,520529.16
520,1997,0.0883783155506066,352260.6576012
520,1999,0.0927485131113621,416374.4177331
520,2001,0.078971333575573,448631.5420257
520,2003,0.0665842855432952,414760.819587
520,2005,0.0723459578317705,522984.3516661
520,2007,0.0834896743435099,464976.7498341
520,2009,0.0843337378229176,457534.3753521
520,2011,0.105253062443562,474707.1657137
520,2013,0.100388293259404,470420.9022301
720,1985,0.0766675782652521,393793.62
720,1987,0.0810074214239897,395898.61
720,1989,0.0743797509433886,410079.38
720,1991,0.0793927236436534,383545.74
720,1993,0.0772975590704244,428833.02
720,1995,0.0816219271184503,435806.04
720,1997,0.0668119090367807,239025.3531104
720,1999,0.0933133451234806,340164.9459908
720,2001,0.0848290529182622,397341.3586648
720,2003,0.0789758121485438,366105.4843056
720,2005,0.0755544958032032,442779.6701551
720,2007,0.0528042256301043,405044.9381331
720,2009,0.0619883535031978,404881.4236555
720,2011,0.0633555613892757,425693.79944292
720,2013,0.058734880590583,456876.33232265
1120,1985,0.0561228995959953,387961.97
1120,1987,0.0478144216875369,390673.18
1120,1989,0.0521047124435788,388206.49
1120,1991,0.0580467596851899,388239.99
1120,1993,0.064863982726986,391192.14
1120,1995,0.06788596916818,416188.62
1120,1997,0.0653004462532547,341066.9817927
1120,1999,0.0628939058904037,377319.4051299
1120,2001,0.0536097368164395,403709.91981533
1120,2003,0.0576603820806764,472000.2642828
1120,2005,0.041028815090435,434414.2930795
1120,2007,0.0402947890237977,411471.6943954
1120,2009,0.048467309580831,438128.78594738
1120,2011,0.0511667892731885,453982.812434
1120,2013,0.0402041149605277,463685.26542743
1600,1985,0.0832272410601489,877139.49
1600,1987,0.081028435188421,899658.23
1600,1989,0.0740709657800423,949083.45
1600,1991,0.071305529635028,916111.18
1600,1993,0.0738357629466069,920200.75
1600,1995,0.0696332295120975,795288.72
1600,1997,0.0681637489006183,895315.6829259
1600,1999,0.072111435360983,710397.86933839
1600,2001,0.0694762590948848,907886.1310883
1600,2003,0.0623294453681405,878206.00240333
1600,2005,0.0586977228412804,972987.79469505
1600,2007,0.0516121147450311,986035.01898187
1600,2009,0.0681356095773754,616582.14521304
1600,2011,0.0811515295589417,950501.62609029
1600,2013,0.0788747738096903,436935.09973882
1680,1985,0.0762005808762745,354702.92
1680,1987,0.0725127793741789,345165.18
1680,1989,0.0709594023734417,357547.98
1680,1991,0.0734012462957256,353149.45
1680,1993,0.0730097498136136,348543.66
1680,1995,0.0822877183972743,366784.96
1680,1997,0.0653013563793056,335682.5578697
1680,1999,0.066527417866762,371984.6561903
1680,2001,0.0746776412464834,403141.7939628
1680,2003,0.0698557691695138,413089.5142385
1680,2005,0.0813033913394633,439397.0555258
1680,2007,0.0629685372087396,405389.907578
1680,2009,0.0795965545983353,378090.3011888
1680,2011,0.0904114524416202,380080.49037905
1680,2013,0.0991958022253998,366809.13712731
1920,1985,0.0762538378443014,441216.34
1920,1987,0.0856063455980013,462056.75
1920,1989,0.084759522550384,445904.79
1920,1991,0.0922138711573298,458839.75
1920,1993,0.119901752707944,473687.18
1920,1995,0.0996852764030485,499172.96
1920,1997,0.104661043434558,380085.8135035
1920,1999,0.106627567529021,422864.5416366
1920,2001,0.103386014094124,453687.2345075
1920,2003,0.102434738083317,497174.6435671
1920,2005,0.107509491005301,518644.1758488
1920,2007,0.102551932013776,526565.33124599
1920,2009,0.10049527203479,550632.6735584
1920,2011,0.121817823020636,541099.26185192
1920,2013,0.0986276588661375,566528.6179847
2160,1985,0.0951121065140192,911723.98
2160,1987,0.0969142506914342,926216.23
2160,1989,0.0953562994233499,946228.86
2160,1991,0.0975885526561013,918896.53
2160,1993,0.0962765878817772,900592.41
2160,1995,0.0808109086586854,1027586.33
