"region","Year","rp_median"
360,1985,0.0702277123059794
360,1987,0.0670441985394356
360,1989,0.0497175994839164
360,1991,0.0506332002075935
360,1993,0.0581977118207073
360,1995,0.0650515624904287
360,1997,0.0701195178635282
360,1999,0.0667485286380449
360,2001,0.0562397368420129
360,2003,0.0440461898262068
360,2005,0.0334062198969642
360,2007,0.0285795716454652
360,2009,0.0499482431268454
360,2011,0.0522849473392052
360,2013,0.044974419165811
520,1985,0.0870530157232944
520,1987,0.0761465545055186
520,1989,0.0874525346354216
520,1991,0.0860922922813451
520,1993,0.0943000065158213
520,1995,0.0876554769561441
520,1997,0.0883783155506066
520,1999,0.0927485131113621
520,2001,0.078971333575573
520,2003,0.0665842855432952
520,2005,0.0723459578317705
520,2007,0.0834896743435099
520,2009,0.0843337378229176
520,2011,0.105253062443562
520,2013,0.100388293259404
720,1985,0.0766675782652521
720,1987,0.0810074214239897
720,1989,0.0743797509433886
720,1991,0.0793927236436534
720,1993,0.0772975590704244
720,1995,0.0816219271184503
720,1997,0.0668119090367807
720,1999,0.0933133451234806
720,2001,0.0848290529182622
720,2003,0.0789758121485438
720,2005,0.0755544958032032
720,2007,0.0528042256301043
720,2009,0.0619883535031978
720,2011,0.0633555613892757
720,2013,0.058734880590583
1120,1985,0.0561228995959953
1120,1987,0.0478144216875369
1120,1989,0.0521047124435788
1120,1991,0.0580467596851899
1120,1993,0.064863982726986
1120,1995,0.06788596916818
1120,1997,0.0653004462532547
1120,1999,0.0628939058904037
1120,2001,0.0536097368164395
1120,2003,0.0576603820806764
1120,2005,0.041028815090435
1120,2007,0.0402947890237977
1120,2009,0.048467309580831
1120,2011,0.0511667892731885
1120,2013,0.0402041149605277
1600,1985,0.0832272410601489
1600,1987,0.081028435188421
1600,1989,0.0740709657800423
1600,1991,0.071305529635028
1600,1993,0.0738357629466069
1600,1995,0.0696332295120975
1600,1997,0.0681637489006183
1600,1999,0.072111435360983
1600,2001,0.0694762590948848
1600,2003,0.0623294453681405
1600,2005,0.0586977228412804
1600,2007,0.0516121147450311
1600,2009,0.0681356095773754
1600,2011,0.0811515295589417
1600,2013,0.0788747738096903
1680,1985,0.0762005808762745
1680,1987,0.0725127793741789
1680,1989,0.0709594023734417
1680,1991,0.0734012462957256
1680,1993,0.0730097498136136
1680,1995,0.0822877183972743
1680,1997,0.0653013563793056
1680,1999,0.066527417866762
1680,2001,0.0746776412464834
1680,2003,0.0698557691695138
1680,2005,0.0813033913394633
1680,2007,0.0629685372087396
1680,2009,0.0795965545983353
1680,2011,0.0904114524416202
1680,2013,0.0991958022253998
1920,1985,0.0762538378443014
1920,1987,0.0856063455980013
1920,1989,0.084759522550384
1920,1991,0.0922138711573298
1920,1993,0.119901752707944
1920,1995,0.0996852764030485
1920,1997,0.104661043434558
1920,1999,0.106627567529021
1920,2001,0.103386014094124
1920,2003,0.102434738083317
1920,2005,0.107509491005301
1920,2007,0.102551932013776
1920,2009,0.10049527203479
1920,2011,0.121817823020636
1920,2013,0.0986276588661375
2160,1985,0.0951121065140192
2160,1987,0.0969142506914342
2160,1989,0.0953562994233499
2160,1991,0.0975885526561013
2160,1993,0.0962765878817772
2160,1995,0.0808109086586854
2160,1997,0.0710109857718571
2160,1999,0.0687007518766061
2160,2001,0.0629519925539702
2160,2003,0.0664349162037832
2160,2005,0.0645510626079722
2160,2007,0.0685016975794758
2160,2009,0.104185749147916
2160,2011,0.108524883063921
2160,2013,0.117789949285764
3360,1985,0.0818281219264405
3360,1987,0.0937156621019493
3360,1989,0.111115042803158
3360,1991,0.131911608360417
3360,1993,0.12009029994128
3360,1995,0.121570064171119
3360,1997,0.129627398202364
3360,1999,0.129282171336506
3360,2001,0.108793407513168
3360,2003,0.102152363749008
3360,2005,0.109342593799528
3360,2007,0.105642273023354
3360,2009,0.122732691981169
3360,2011,0.116348386529948
3360,2013,0.121752145695808
3760,1985,0.086126942735174
3760,1987,0.0890064685680606
3760,1989,0.0995219049316941
3760,1991,0.093942228158439
3760,1993,0.102119344967805
3760,1995,0.115020615057915
3760,1997,0.0938186959541193
3760,1999,0.0974172750694886
3760,2001,0.0964193982628805
3760,2003,0.0902354660425615
3760,2005,0.0923276704031753
3760,2007,0.0813840697769527
3760,2009,0.0965905279094394
3760,2011,0.0957926986741256
3760,2013,0.0952882049667107
4480,1985,0.0611544049504186
4480,1987,0.0573163244138603
4480,1989,0.0451130833336267
4480,1991,0.0426060199747604
4480,1993,0.0488759329535869
4480,1995,0.0551245563044543
4480,1997,0.0544148398516963
4480,1999,0.0611108151190844
4480,2001,0.0528803502067551
4480,2003,0.0406731651337487
4480,2005,0.0280607832953706
4480,2007,0.0241142845202207
4480,2009,0.0420397930287012
4480,2011,0.0430203694319975
4480,2013,0.0419708333769701
5000,1985,0.0721095834562539
5000,1987,0.0814598632661132
5000,1989,0.0896541525759047
5000,1991,0.10047157554936
5000,1993,0.090698703693875
5000,1995,0.0898477870884985
5000,1997,0.0976192183464706
5000,1999,0.0900382000230529
5000,2001,0.0751124695857548
5000,2003,0.0649796274989592
5000,2005,0.0492629144645307
5000,2007,0.0489561651550344
5000,2009,0.0697193273468101
5000,2011,0.101487370141576
5000,2013,0.0807746507386125
5120,1985,0.0837292588290127
5120,1987,0.092762117001475
5120,1989,0.0946781206143373
5120,1991,0.097654662049335
5120,1993,0.103029091619222
5120,1995,0.104354193401203
5120,1997,0.0936582173959522
5120,1999,0.0933162969082399
5120,2001,0.0795566194447235
5120,2003,0.0708194577682268
5120,2005,0.0666455598629568
5120,2007,0.0665534676471425
