"region","Year","rented","vacant","count","vac_rate","predict_vac_rate"
12060,1985,44427.65,3875.98,224,0.080242002516167,0.0800019073779276
12060,1987,52435.29,0,183,0,0.0675462760831384
12060,1989,67269.67,3165.14,235,0.0449371553639458,0.0867311415888116
12060,1991,38692.95,8057.54,185,0.172351990321385,0.0866865018183307
12060,1993,62569.4,3277.16,264,0.0497696462806865,0.0757409748611451
12060,1995,67428.67,2657.88,207,0.0379228254208546,0.0749352267549657
12060,1997,57077.3047502,4207.0843364,138,0.0686485481719502,0.0834330141224813
12060,1999,31119.4958981,7665.0870758,171,0.197632319031462,0.080928665688485
12060,2001,24017.0862609,8397.2113316,167,0.259058870784938,0.0909063831532138
12060,2003,56765.7014352,10986.3188995,177,0.162154853024703,0.0961660649474222
12060,2005,75012.5563034,5724.0544564,189,0.0708978789489897,0.0989064143981039
12060,2007,82248.0945897,15038.823833,169,0.15458217894885,0.123373304461744
12060,2009,89706.0339203,3882.9652829,165,0.0414895480874769,0.104297050994391
12060,2011,111041.818409,11248.4041592,196,0.0919812223984373,0.106742211056042
12060,2013,105695.0041625,14829.9914066,191,0.123044944632233,0.102865510849267
12060,2015,473411.54227672,49623.73906324,3216,0.0948764659548575,0.0868728554754875
12060,2017,538736.86252504,59923.64567468,3068,0.100096206203548,0.101110837227098
12060,2019,478005.73033338,51753.24235848,3378,0.0976920543610742,0.112518633084306
14460,2015,59724.94082023,3330.53955345,1042,0.0528191924589667,0.0389295049116678
14460,2017,67407.48219147,2734.80405488,1045,0.0389893771821889,0.0531674866632788
14460,2019,94902.05993819,6590.40234756,954,0.0649348946624711,0.0645752825204861
16980,1985,52427.73,1749.23,550,0.0322873413347667,0.0548105649890702
16980,1987,45844.16,0,493,0,0.0423549336942809
16980,1989,78803.19,0,589,0,0.0615397991999542
16980,1991,58688.83,3808.74,485,0.0609422094331028,0.0614951594294733
16980,1993,67921.66,0,606,0,0.0505496324722876
16980,1995,50795.17,3276.86,1032,0.0606017565828396,0.0497438843661083
16980,1997,53394.7408913,7731.8099988,466,0.126488569798435,0.0582416717336239
16980,1999,43432.64808377,3938.28758206,1004,0.0831372132871084,0.0557373232996275
16980,2001,34904.322923,2844.627394,448,0.0753564634277775,0.0657150407643564
16980,2003,50401.44993776,3987.67270418,1035,0.0733174669948631,0.0709747225585647
16980,2005,60794.0012716,3480.6140534,451,0.0541522346855057,0.0737150720092464
16980,2007,55237.3386606,11875.7649188,405,0.176951508504596,0.0981819620728865
16980,2009,79885.00618619,2740.1331471,534,0.0331634314835701,0.0791057086055331
16980,2011,102304.13278052,6236.8061144,490,0.0574604032165038,0.081550868667185
16980,2013,51567.21119459,3196.05376257,482,0.058361271284139,0.0776741684604094
16980,2015,928282.6728956,52002.57566248,5292,0.0530484119178286,0.06168151308663
16980,2017,712739.53961704,71864.56784992,4820,0.0915934127364306,0.075919494838241
16980,2019,771985.58951888,77054.06782496,4628,0.0907543801499428,0.0873272906954483
19100,1985,94297.36,3577.6,339,0.036552760787846,0.0452909288871047
19100,1987,116666.62,7971.14,313,0.0639544548939262,0.0328352975923155
19100,1989,109389.65,6626.23,360,0.0571148535872848,0.0520201630979887
19100,1991,94125.8,1627.74,300,0.0169992670767055,0.0519755233275079
19100,1993,88760.76,6277.39,402,0.0660512646763431,0.0410299963703222
19100,1995,86472.16,6847.22,316,0.0733740408476782,0.0402242482641428
19100,1997,95825.2340286,6423.4705019,282,0.0628220233341336,0.0487220356316584
19100,1999,96465.5074812,1709.0328802,298,0.0174081067648365,0.0462176871976621
19100,2001,80460.8240499,7276.9451611,296,0.0829397103042331,0.0561954046623909
19100,2003,111662.3721759,10716.3557864,323,0.0875671447549388,0.0614550864565993
19100,2005,79542.7981381,14367.1638,328,0.152988708583121,0.064195435907281
19100,2007,95382.159954,11152.867124,317,0.10468732613016,0.0886623259709211
19100,2009,144558.8691849,9959.0183885,337,0.0644522038509568,0.0695860725035677
19100,2011,142565.80963433,16068.2296877,382,0.101291184139119,0.0720312325652196
19100,2013,165430.7894027,11078.9993782,366,0.0627670536275598,0.068154532358444
19100,2015,782770.83403776,45452.34805383,5007,0.0548793477852732,0.0521618769846646
19100,2017,799665.02060112,63843.17373822,5094,0.0739346472410325,0.0663998587362756
19100,2019,769052.38198815,38769.01427667,4161,0.0479920616808728,0.0778076545934829
19820,1985,107957.41,9303.36,537,0.0793390662537863,0.0918696995495265
19820,1987,123147.86,3134.8,438,0.0248236772966296,0.0794140682547372
19820,1989,85528.47,6978.91,541,0.0754416566548528,0.0985989337604105
19820,1991,95749.31,4165.73,432,0.0416927221367274,0.0985542939899296
19820,1993,74364.92,8806.97,586,0.105888780452146,0.0876087670327439
19820,1995,119133.74,11019.61,1225,0.0846663570319166,0.0868030189265646
19820,1997,81484.2661447,10280.6681523,512,0.112032643308241,0.0953008062940802
19820,1999,98675.76930636,7947.2989914,1220,0.0745363936555084,0.0927964578600839
19820,2001,85112.40996336,6634.7514141,542,0.0723156042594468,0.102774175324813
19820,2003,111822.22229491,9208.94326934,1220,0.0760873715989407,0.108033857119021
19820,2005,81684.0389569,9552.1582725,546,0.104697023358859,0.110774206569703
19820,2007,99394.3388613,15936.3583579,489,0.138179675855172,0.135241096633343
19820,2009,120129.44831309,18906.69616881,1525,0.135984036663727,0.116164843165989
19820,2011,150867.4312533,29468.0913294,624,0.163407025456597,0.118610003227641
19820,2013,169903.42286966,23460.51788488,2728,0.121328298302843,0.114733303020866
19820,2015,324433.6231156,43272.9858385,3582,0.117683459542882,0.0987406476470863
