"","CONTROL","region","TENURE","Year","renter_data","predicted_log_rent","decile","WEIGHT","VALUE"
"120","'599649970441'",520,2,2011,1,9.27688013883763,2,2592.6159681,NA
"121","'600029230103'",520,1,2011,0,9.7795938483248,9,2672.8643001,167000
"122","'602433950140'",520,2,2011,1,9.56660637899848,7,2120.4682699,NA
"123","'604164940145'",520,1,2011,0,9.45834027334689,5,2689.4360967,150000
"124","'607164750145'",520,1,2011,0,9.49751360493323,6,2373.7137169,130000
"125","'616591350148'",520,1,2011,0,9.54072422964143,7,4981.1289903,100000
"126","'683649830147'",520,1,2011,0,8.92286591203953,0,2459.8096397,475000
"127","'684649440144'",520,1,2011,0,9.24840258890654,1,2131.3361008,350000
"128","'685029220149'",520,2,2011,1,9.18303322807315,1,2919.9631841,NA
"129","'685029880140'",520,1,2011,0,9.31782524290944,3,2975.0441684,200000
"130","'688029360140'",520,1,2011,0,9.49780953994984,6,2909.8213988,280000
"131","'688092220145'",520,1,2011,0,9.6512662036361,8,2624.2610306,230000
"132","'688649430141'",520,1,2011,0,9.31362926517934,3,2778.5296106,200000
"133","'688649760141'",520,1,2011,0,9.3309410920782,3,2838.2090304,88000
"134","'688649920141'",520,1,2011,0,9.34292779291155,3,3232.3925528,185000
"135","'689092240142'",520,1,2011,0,9.36476782092847,4,2719.4340472,80000
"136","'689092320142'",520,1,2011,0,9.36685271340761,4,3832.1915981,180000
"137","'689092570142'",520,2,2011,1,9.36253878111082,4,2829.8334228,NA
"138","'689102090141'",520,1,2011,0,9.27727456893768,2,2527.7575301,140000
"139","'689478870144'",520,1,2011,0,8.99065186157648,0,2975.0441684,28000
"140","'689649380147'",520,1,2011,0,9.28426142769265,2,2818.5333827,200000
"141","'733029460143'",520,1,2011,0,10.4543758122363,9,1670.3506714,1507983
"142","'736591280142'",520,1,2011,0,9.7027515200429,8,2652.17623,320000
"143","'737029940140'",520,1,2011,0,10.1015850133192,9,2312.5294358,1507983
"144","'738649470147'",520,2,2011,1,9.36565936198368,4,2475.8581978,NA
"145","'999900010222'",520,1,2011,0,9.39902294280417,5,2266.6415458,250000
"146","'999900010756'",520,1,2011,0,9.42364943033848,5,2230.6192524,147000
"147","'999900011579'",520,1,2011,0,9.84126287932407,9,2109.6835225,300000
"148","'999900011580'",520,1,2011,0,9.94649669724486,9,2925.3816346,250000
"149","'999900011776'",520,1,2011,0,9.76910258505903,9,1462.2804948,240000
"150","'999900011779'",520,2,2011,1,9.16016162356541,1,2056.3587433,NA
"151","'999900011782'",520,1,2011,0,9.35289988639009,3,1865.8251967,65000
"152","'999900012008'",520,1,2011,0,9.55506275307738,7,2011.329201,264000
"153","'999900012190'",520,1,2011,0,9.71916262976473,8,2073.3072566,270000
"154","'999900013414'",520,1,2011,0,9.44063401634799,5,2947.1084892,70000
"155","'999900013415'",520,1,2011,0,9.45875977767543,6,2009.0480643,250000
"156","'999900013418'",520,1,2011,0,9.49159073583723,6,1973.1351462,210000
"157","'999900013421'",520,1,2011,0,9.16342223987388,1,1925.8108412,200000
"158","'999900013422'",520,1,2011,0,9.41322351021606,5,1487.9362695,108000
"159","'999900014418'",520,2,2011,1,9.83897578989978,9,1864.1287768,NA
"160","'999900014577'",520,2,2011,1,9.47473313892284,6,3298.6133992,NA
