"region","Year","rp_median"
12060,1985,0.0762416161310745
12060,1987,0.0755473620688884
12060,1989,0.0819740589680578
12060,1991,0.0848427325861578
12060,1993,0.0888778301182677
12060,1995,0.0873761879448598
12060,1997,0.0849192801523238
12060,1999,0.0851422745115774
12060,2001,0.0783212674008168
12060,2003,0.0644081541777689
12060,2005,0.0727652196388641
12060,2007,0.0756895563743084
12060,2009,0.082491455454633
12060,2011,0.0945480359343244
12060,2013,0.114344327216726
12060,2015,0.10271962765356
12060,2017,0.0858046928751493
12060,2019,0.0787002780741066
14460,2015,0.0551660003537044
14460,2017,0.0499845343451412
14460,2019,0.0507861113371624
16980,1985,0.0716266175402766
16980,1987,0.0736033970865458
16980,1989,0.067672708864791
16980,1991,0.0669562276405507
16980,1993,0.0645564972579145
16980,1995,0.0638305342814262
16980,1997,0.0630907840989738
16980,1999,0.0675193388565463
16980,2001,0.0664662955652197
16980,2003,0.0633707207339259
16980,2005,0.0555177752388207
16980,2007,0.0458358926850156
16980,2009,0.0672538547775359
16980,2011,0.0744646574956382
16980,2013,0.08003757645735
16980,2015,0.0793167129796047
16980,2017,0.0801017110095221
16980,2019,0.0754295479963319
19100,1985,0.0753513668431021
19100,1987,0.0861132214669171
19100,1989,0.0981673133535869
19100,1991,0.100350426118108
19100,1993,0.109892118535306
19100,1995,0.109083336576438
19100,1997,0.109340300940728
19100,1999,0.113114203183698
19100,2001,0.103526501029861
19100,2003,0.108510605624737
19100,2005,0.10954393246914
19100,2007,0.0970105583796787
19100,2009,0.110114384856517
19100,2011,0.116959215770771
19100,2013,0.0932583824436129
19100,2015,0.106141344273245
19100,2017,0.0926781931265924
19100,2019,0.0775252290721191
19820,1985,0.0899515564224834
19820,1987,0.0936864986909863
19820,1989,0.0923617297600118
19820,1991,0.0923626316021459
19820,1993,0.0900999370637947
19820,1995,0.0811203811678235
19820,1997,0.0705660992077902
19820,1999,0.0696423525844251
19820,2001,0.0630649099663555
19820,2003,0.0644216097435089
19820,2005,0.0615539571921876
19820,2007,0.0634004520058502
19820,2009,0.0971375751692613
19820,2011,0.10833722661547
19820,2013,0.110597678642366
19820,2015,0.108669281028196
19820,2017,0.0945224225783691
19820,2019,0.0903678949782644
26420,1985,0.085198414465428
26420,1987,0.0999651953895564
26420,1989,0.11630412940811
26420,1991,0.135917375562158
26420,1993,0.124037003678005
26420,1995,0.132105170704675
26420,1997,0.139231933932303
26420,1999,0.131006291435353
26420,2001,0.122558578957217
26420,2003,0.102402457828831
26420,2005,0.107813191720699
26420,2007,0.108985456667231
26420,2009,0.135562312457902
26420,2011,0.123650950408376
26420,2013,0.124663037628634
26420,2015,0.113905547219041
26420,2017,0.0924045707766561
26420,2019,0.0889913593303892
31080,1985,0.0625276187360954
31080,1987,0.0602380377078429
31080,1989,0.0476050475825374
31080,1991,0.0461309711633362
31080,1993,0.0514221036851064
31080,1995,0.0588065947080515
31080,1997,0.0587187280004671
31080,1999,0.0646907840347691
31080,2001,0.0565360789771656
31080,2003,0.0430742317470369
31080,2005,0.0301189677981935
31080,2007,0.0247140321083788
31080,2009,0.0435875465000002
31080,2011,0.0468780464545544
31080,2013,0.0431304798577366
31080,2015,0.0382501369806927
31080,2017,0.0367696340480614
31080,2019,0.0371563382627
33100,1985,0.0846265131767447
33100,1987,0.0845898555375218
33100,1989,0.0935406104233024
33100,1991,0.104806248703455
33100,1993,0.100770272007522
33100,1995,0.0991422082039438
33100,1997,0.0845947288732344
33100,1999,0.106054344990598
33100,2001,0.106903774433359
33100,2003,0.0837360458233146
33100,2005,0.0574561797692576
33100,2007,0.0480421380791768
33100,2009,0.0743249363422956
33100,2011,0.108827444898169
33100,2013,0.101145042650362
33100,2015,0.0771416651696683
33100,2017,0.0619655370226672
33100,2019,0.0610396291348817
35620,1985,0.0575963910168569
35620,1987,0.0437067411247616
35620,1989,0.0459386730774825
35620,1991,0.0545310125348381
35620,1993,0.0553422237980422
35620,1995,0.0606707296337787
35620,1997,0.065111105917638
35620,1999,0.067715518528255
35620,2001,0.060714706654772
35620,2003,0.0439864586901288
35620,2005,0.0392637742885216
35620,2007,0.0340646302995511
35620,2009,0.0403584112017647
35620,2011,0.0460034842317799
35620,2013,0.0435024780274969
35620,2015,0.0502558848466097
35620,2017,0.0526958966212907
35620,2019,0.0474404213912823
37980,1985,0.0679925246079304
37980,1987,0.0690829218016325
37980,1989,0.0575305396421275
37980,1991,0.0617602872049404
37980,1993,0.0641692338791988
37980,1995,0.0693829460900823
37980,1997,0.061702155829379
37980,1999,0.0824332299255338
37980,2001,0.0757713474012278
37980,2003,0.0767043322751268
37980,2005,0.0710846986077466
37980,2007,0.0486656678717447
37980,2009,0.0623923761862815
37980,2011,0.0631883028354475
37980,2013,0.0632190791585766
37980,2015,0.0733039536894352
37980,2017,0.0738879829361931
37980,2019,0.0735367073908533
38060,1985,0.0669113465516356
38060,1987,0.071749086372624
38060,1989,0.0835969421644031
38060,1991,0.0988400189153821
38060,1993,0.0912615185385014
38060,1995,0.093388902345418
38060,1997,0.0811357920297543
38060,1999,0.0867345471846157
38060,2001,0.0813333179359123
38060,2003,0.077336421586238
38060,2005,0.0596269356920831
38060,2007,0.0449284734601854
38060,2009,0.07576398626964
38060,2011,0.0954746281992744
38060,2013,0.0705102536309033
38060,2015,0.0778870434862445
38060,2017,0.061997601027697
38060,2019,0.0592733508830267
40140,1985,0.0681003975276558
40140,1987,0.0646877990744952
40140,1989,0.0573812350952716
40140,1991,0.0619026144036322
40140,1993,0.0666754567257018
40140,1995,0.0768427337957197
40140,1997,0.088237623285075
40140,1999,0.0888192232123164
40140,2001,0.0817742890998961
40140,2003,0.0694356266769861
40140,2005,0.0463182045259511
40140,2007,0.0264622390235576
40140,2009,0.0684729581286911
40140,2011,0.0805193785780381
40140,2013,0.0664946633911026
40140,2015,0.0611198045610742
40140,2017,0.05488923767869
40140,2019,0.0538544659855018
41860,1985,0.0614708909092472
41860,1987,0.0569076990297816
41860,1989,0.0411907400385591
41860,1991,0.0451860217586036
41860,1993,0.0481170733188123
41860,1995,0.054509418472848
41860,1997,0.0551029158180366
41860,1999,0.0470100652744911
41860,2001,0.0333502773089767
41860,2003,0.0277794069377126
41860,2005,0.0272760481210137
41860,2007,0.02580948505641
41860,2009,0.0381167719538871
41860,2011,0.0376600221003144
41860,2013,0.030608321205787
41860,2015,0.0315185431304078
41860,2017,0.027501750259853
41860,2019,0.0276782794510535
42660,1985,0.078703785715836
42660,1987,0.0879203502311505
42660,1989,0.0850526001551158
42660,1991,0.064540570646483
42660,1993,0.0632237656183335
42660,1995,0.0688396218994476
42660,1997,0.0607289986841231
42660,1999,0.0610635886534127
42660,2001,0.0544131367370647
42660,2003,0.0538725515265751
42660,2005,0.0480693169016793
42660,2007,0.0371602616589638
42660,2009,0.0446882342838587
42660,2011,0.0531211189438611
42660,2013,0.0527285938031082
42660,2015,0.0573587442853909
42660,2017,0.0427243382148947
42660,2019,0.0423783310269719
47900,1985,0.0768951879347462
47900,1987,0.0762435196409506
47900,1989,0.0661339917004336
47900,1991,0.0686409532234513
47900,1993,0.0659941708640569
47900,1995,0.0707722847427697
47900,1997,0.0713477267170836
47900,1999,0.0780675828916688
47900,2001,0.0698772414295041
47900,2003,0.0626778946824819
47900,2005,0.042998219063581
47900,2007,0.0375567459650287
47900,2009,0.0523084718865425
47900,2011,0.0542400748504014
47900,2013,0.0499255552791472
47900,2015,0.0598780611232704
47900,2017,0.0594955827757557
47900,2019,0.064254708943359
