"Year","predict_vac_rate"
1985,0.0606711178887594
1987,0.0525323506818037
1989,0.062835821968938
1991,0.0665995172201554
1993,0.0523873380858993
1995,0.0572378859307644
1997,0.0669769125744769
1999,0.0609612973022128
2001,0.0668788860555427
2003,0.0760186620888059
2005,0.092328218571268
2007,0.103909413022949
2009,0.0845933876663294
2011,0.0861986726921142
2013,0.0823410062614278
