"Year","region","name","state","cbsa","rp","tax_rate","vac_rate","interp_rp","interp_tax","interp_vac","net_yield","extrap_tax_1","net_yield_1","extrap_tax_0.5","net_yield_0.5"
2006,6200,"Phoenix","AZ",38060,NA,NA,NA,0.0541633612709315,6.48951428571429,0.0923823963883749,0.0296608230579331,6.48951428571429,0.0296608230579331,6.48951428571429,0.0296608230579331
2007,6200,"Phoenix","AZ",38060,0.0462788685208521,NA,0.131542385076129,0.0462788685208521,6.86792857142857,0.131542385076129,0.0209086282735513,6.86792857142857,0.0209086282735513,6.86792857142857,0.0209086282735513
2008,6200,"Phoenix","AZ",38060,NA,NA,NA,0.062207817300829,7.24634285714286,0.130675580525901,0.0334970090445742,7.24634285714286,0.0334970090445742,7.24634285714286,0.0334970090445742
2009,6200,"Phoenix","AZ",38060,0.0781367660808059,NA,0.129808775975672,0.0781367660808059,7.62475714285714,0.129808775975672,0.0461111735401343,7.62475714285714,0.0461111735401343,7.62475714285714,0.0461111735401343
2010,6200,"Phoenix","AZ",38060,NA,NA,NA,0.0852906247177461,8.00317142857143,0.136589153822194,0.0510052906446073,8.00317142857143,0.0510052906446073,8.00317142857143,0.0510052906446073
2011,6200,"Phoenix","AZ",38060,0.0924444833546862,NA,0.143369531668717,0.0924444833546862,8.38158571428571,0.143369531668717,0.0558088278974907,8.38158571428571,0.0558088278974907,8.38158571428571,0.0558088278974907
2012,6200,"Phoenix","AZ",38060,NA,8.76,NA,0.0815053889756795,8.76,0.115409818025728,0.0488087119926723,8.76,0.0488087119926723,8.76,0.0488087119926723
2013,6200,"Phoenix","AZ",38060,0.0705662945966728,NA,0.087450104382739,0.0705662945966728,8.76,0.087450104382739,0.041615858714153,9.22241752019534,0.0411534411939576,8.99120876009767,0.0413846499540553
2014,6200,"Phoenix","AZ",38060,NA,NA,NA,0.0705662945966728,8.76,0.087450104382739,0.041615858714153,9.70924485351667,0.0406666138606363,9.22851997347684,0.0411473387406761
1985,6280,"Pittsburgh","PA",38300,0.079437465149148,13.52,0.0602956107612953,0.079437465149148,13.52,0.0602956107612953,0.0464285898619869,13.52,0.0464285898619869,13.52,0.0464285898619869
