"SMSA","Year","rp_meidan","count"
360,1985,0.0715734428478843,197
360,1987,0.0633510835471006,171
360,1989,0.0503048196752167,203
360,1991,0.0507141513605823,173
360,1993,0.0567034122566558,211
360,1995,0.0662168245483364,168
360,1997,0.0756604908298689,153
360,1999,0.0724330395957103,162
360,2001,0.0582740359714175,174
360,2003,0.051586036306744,178
360,2005,0.0351399624079284,173
360,2007,0.0297662255693715,160
360,2009,0.0510450280530541,157
360,2011,0.0505648133470888,178
360,2013,0.0452885444307073,165
520,1985,0.0887064338805507,204
520,1987,0.0791377641120554,163
520,1989,0.0854653279251859,211
520,1991,0.0962056952298501,159
520,1993,0.0913038604028891,224
520,1995,0.0977612873926224,177
520,1997,0.0921351157031823,120
520,1999,0.0951332572398763,149
520,2001,0.0826874820992372,152
520,2003,0.0795900930247105,144
520,2005,0.0839929151317061,164
520,2007,0.0802171345398122,134
520,2009,0.0976045785165126,128
520,2011,0.106893284437807,138
520,2013,0.110130027199105,141
720,1985,0.0850730877229541,189
720,1987,0.0735218248536118,164
720,1989,0.0821175468143335,198
720,1991,0.0748212869795548,155
720,1993,0.0810173443996553,234
720,1995,0.0843601665074995,177
720,1997,0.0791226271950708,146
720,1999,0.0887264012488379,152
720,2001,0.0887995797980577,145
720,2003,0.103261676760931,147
720,2005,0.0751404130131951,170
720,2007,0.0530951526721672,129
720,2009,0.0647647318603176,130
720,2011,0.0609972677396465,150
720,2013,0.0651093757521342,149
1120,1985,0.0714750696653836,208
1120,1987,0.0464987358323147,188
1120,1989,0.051129281099822,246
1120,1991,0.0642587084988761,183
1120,1993,0.0666573302529196,251
1120,1995,0.0679762717797976,185
1120,1997,0.0765118593524931,171
1120,1999,0.0695199465815905,182
1120,2001,0.0539840469765001,186
1120,2003,0.0563805773741993,194
1120,2005,0.0466917301496908,178
1120,2007,0.0404133112372907,149
1120,2009,0.0602904994965814,153
1120,2011,0.0633760823889509,182
1120,2013,0.0665709209721515,168
1600,1985,0.0818990531111802,469
1600,1987,0.0907135491558316,434
1600,1989,0.0941555520625339,517
1600,1991,0.0875843140896895,441
1600,1993,0.0857721359096762,535
1600,1995,0.0854948283585595,999
1600,1997,0.107952836498368,405
1600,1999,0.0941191039494421,929
1600,2001,0.0956148224699357,394
1600,2003,0.0839111419967616,977
1600,2005,0.0645622649688427,408
1600,2007,0.0522734282543956,364
1600,2009,0.0776561138870625,461
1600,2011,0.12207520749215,406
1600,2013,0.0930458906968135,415
1680,1985,0.0652845910594984,183
1680,1987,0.0604987473178817,162
1680,1989,0.076824450954412,189
1680,1991,0.0935808999231531,170
1680,1993,0.0852689430152191,206
1680,1995,0.0915457583678927,168
1680,1997,0.0599475530231589,152
1680,1999,0.0667291511649152,166
1680,2001,0.0742478655389711,165
1680,2003,0.0710902927986675,167
1680,2005,0.079187673184099,166
1680,2007,0.0674109782134604,135
1680,2009,0.0847972164155976,137
1680,2011,0.0963738990732117,145
1680,2013,0.100190223594153,144
1920,1985,0.0781192511937085,184
1920,1987,0.0860850104810902,165
1920,1989,0.110892366752048,181
1920,1991,0.111478683501165,156
1920,1993,0.129720432760523,222
1920,1995,0.111092047226387,167
1920,1997,0.0990928775292334,130
1920,1999,0.111192815335978,153
1920,2001,0.104087472257715,148
1920,2003,0.11382388359408,162
1920,2005,0.104397124978564,169
1920,2007,0.0992053638115417,162
1920,2009,0.114834027464409,157
1920,2011,0.126296971028626,167
1920,2013,0.0936059506637622,169
2160,1985,0.105212355878142,443
2160,1987,0.105969654603978,366
2160,1989,0.105547940673529,450
2160,1991,0.122065199356546,381
2160,1993,0.132731036799049,503
2160,1995,0.0947331489580964,1046
2160,1997,0.0814740081381949,436
2160,1999,0.081983791110724,1066
2160,2001,0.0761826565882738,487
2160,2003,0.0841308594505555,1091
2160,2005,0.0709369780041118,506
2160,2007,0.0867859629244906,431
2160,2009,0.123626825755887,1330
2160,2011,0.131670201399501,505
2160,2013,0.137298164631848,2200
3360,1985,0.0770724532996292,222
3360,1987,0.0967336073986236,212
3360,1989,0.115352347874617,227
3360,1991,0.120081476874866,210
3360,1993,0.114655118682866,263
3360,1995,0.119120443057389,215
3360,1997,0.12347427126729,166
3360,1999,0.122238843094246,203
3360,2001,0.122174911671148,192
3360,2003,0.116233840122789,199
3360,2005,0.105916234164805,189
3360,2007,0.109590743961599,176
3360,2009,0.116337122508996,156
3360,2011,0.124980254447559,194
3360,2013,0.12679165322043,209
3760,1985,0.0799477424158048,161
3760,1987,0.0854104875896742,124
3760,1989,0.0906388436108021,159
3760,1991,0.0981842939583521,112
3760,1993,0.103462159297723,157
3760,1995,0.117399369937608,114
3760,1997,0.0993548942179974,108
3760,1999,0.10723908761067,98
3760,2001,0.106975308919384,122
3760,2003,0.0932636582713527,115
3760,2005,0.0924298750492429,117
3760,2007,0.0964231749267141,107
3760,2009,0.135291342023133,102
3760,2011,0.101779174366605,116
3760,2013,0.111022671380836,115
4480,1985,0.064304278613401,570
4480,1987,0.0627241237592173,501
4480,1989,0.0502689529722615,598
4480,1991,0.046471705883774,506
4480,1993,0.0514832544171626,623
4480,1995,0.0579696108523131,1133
4480,1997,0.0620010149381076,372
4480,1999,0.0695367637824887,962
4480,2001,0.0665478540506212,408
4480,2003,0.0527882405513774,1034
4480,2005,0.0379710321474623,431
4480,2007,0.0282710116544469,332
4480,2009,0.0552517079426779,350
4480,2011,0.0507435228641815,1189
4480,2013,0.0552947058961626,433
5000,1985,0.078373389094033,155
5000,1987,0.0871111963980333,138
5000,1989,0.0929216431203835,169
5000,1991,0.0968899776181497,132
5000,1993,0.100027962197158,201
5000,1995,0.103309844532675,128
5000,1997,0.101446360554924,101
5000,1999,0.113815550919085,110
5000,2001,0.105952449314251,110
5000,2003,0.0927657052103361,92
5000,2005,0.0799814813593049,101
5000,2007,0.0600109562427588,89
5000,2009,0.0884101441058544,83
5000,2011,0.136276016908217,107
5000,2013,0.136794333937702,115
5120,1985,0.0793146420556471,235
5120,1987,0.0823091473703312,209
5120,1989,0.0948437807991954,261
5120,1991,0.0980224818632673,223
5120,1993,0.107229001403335,295
5120,1995,0.104234333453103,213
5120,1997,0.0992298599353302,197
5120,1999,0.101329719378466,193
5120,2001,0.0963169413664561,210
5120,2003,0.0748875547490799,200
5120,2005,0.0647141962836486,202
5120,2007,0.0609958885498191,169
5120,2009,0.0782809522909642,184
5120,2011,0.0913729391626555,206
5120,2013,0.0921295321356239,190
5380,1985,0.0720283909676883,346
5380,1987,0.0571125416022573,273
5380,1989,0.0561630043887411,346
5380,1991,0.0685094391748761,256
5380,1993,0.0659843031180264,348
5380,1995,0.0754309443050414,282
5380,1997,0.0796444384391159,236
5380,1999,0.0827663885178622,258
5380,2001,0.102723263812369,248
5380,2003,0.0666788812136039,285
5380,2005,0.0510388457769965,250
5380,2007,0.178605986876315,227
