"SMSA","Year","rented","vacant","count","vac_rate","predict_vac_rate"
360,1985,67382.85,5120.44,223,0.0706235537725253,0.0400029019185956
360,1987,59059.26,6528.45,190,0.0995377030239354,0.0319180421664848
360,1989,65232.89,4955.82,225,0.0706070819651765,0.042496187557536
360,1991,75562.2,3402.48,192,0.0430886315248792,0.0460837655151303
360,1993,76954.47,3107.18,251,0.0388098421653813,0.0315761427410855
360,1995,83292.01,4452.07,187,0.0507392635491762,0.0378257428257387
360,1997,82037.99319335,0,175,0,0.0462033789509299
360,1999,69836.9912153,1228.2498647,174,0.0172834123410252,0.0414573644439559
360,2001,58439.6136885,1490.2880604,179,0.0248671867783824,0.045826637978912
360,2003,52278.1128123,3911.831472,181,0.0696179987687406,0.0565056290467069
360,2005,44430.0633987,0,178,0,0.0715147737092525
360,2007,54086.7084682,5551.4699688,168,0.0930858405520284,0.0827356663115949
360,2009,47901.5995093,9440.5967235,176,0.164636120409004,0.0605243782453588
360,2011,57629.8835217,0,190,0,0.0675629119062173
360,2013,70021.2455248,0,184,0,0.0569682850866934
520,1985,44427.65,3875.98,224,0.080242002516167,0.0897524245896901
520,1987,52435.29,0,183,0,0.0816675648375794
520,1989,67269.67,3165.14,235,0.0449371553639458,0.0922457102286306
520,1991,38692.95,8057.54,185,0.172351990321385,0.0958332881862249
520,1993,62569.4,3277.16,264,0.0497696462806865,0.0813256654121801
520,1995,67428.67,2657.88,207,0.0379228254208546,0.0875752654968333
520,1997,57077.3047502,4207.0843364,138,0.0686485481719502,0.0959529016220244
520,1999,31119.4958981,7665.0870758,171,0.197632319031462,0.0912068871150505
520,2001,24017.0862609,8397.2113316,167,0.259058870784938,0.0955761606500066
520,2003,56765.7014352,10986.3188995,177,0.162154853024703,0.106255151717801
520,2005,75012.5563034,5724.0544564,189,0.0708978789489897,0.121264296380347
520,2007,82248.0945897,15038.823833,169,0.15458217894885,0.132485188982689
520,2009,89706.0339203,3882.9652829,165,0.0414895480874769,0.110273900916453
520,2011,111041.818409,11248.4041592,196,0.0919812223984373,0.117312434577312
520,2013,105695.0041625,14829.9914066,191,0.123044944632233,0.106717807757788
720,1985,22597.95,0,139,0,0.0436836172618549
720,1987,23166,0,123,0,0.0355987575097442
720,1989,26697.05,0,152,0,0.0461769029007954
720,1991,23221.79,0,112,0,0.0497644808583897
720,1993,22719.41,0,171,0,0.0352568580843449
720,1995,18713.67,2850,132,0.132166741561154,0.0415064581689981
720,1997,22558.8117559,0,113,0,0.0498840942941892
720,1999,24372.6208889,1489.0135489,111,0.0575761579370104,0.0451380797872153
720,2001,28451.2287616,1919.5426035,110,0.0632036170706486,0.0495073533221714
720,2003,20323.7923735,0,111,0,0.0601863443899662
720,2005,15099.9930741,3956.6799896,122,0.207627006895388,0.0751954890525119
720,2007,6511.465411,2445.9248015,97,0.273062213822808,0.0864163816548542
720,2009,16916.588251,0,90,0,0.0642050935886182
720,2011,29624.5561443,1930.8947864,120,0.0611905306199079,0.0712436272494767
720,2013,26872.6593643,1546.6019356,119,0.05442090557102,0.0606490004299528
1120,1985,17838.08,1125.59,216,0.0593550720931128,0.0900093700642564
1120,1987,13618.16,1918.95,194,0.123507524887189,0.0819245103121457
